COMMENT Column list: Type   Attribute   Date Created   Last Modified   Last Accessed   File size   FileName

COMMENT	
COMMENT	Computer: DESKTOP-VI4396B
COMMENT	User: Student
COMMENT	Prepared: 11:32 5/30/2020
COMMENT	Folder: C:\$Recycle.Bin\
COMMENT	Include Sub-Folders? Yes
COMMENT	
FOLDER	C:\$Recycle.Bin\	-HS----	3	0	0	0
FILE	---A---X	4/15/2020 01:31	4/15/2020 01:31	4/17/2020 08:19	262,144	$RBPMT0M.exe
FILE	---A----	4/15/2020 01:40	4/15/2020 01:40	4/15/2020 01:40	1,048,576	$R2KGENR.pdf
FILE	---A----	4/15/2020 01:40	4/15/2020 01:40	5/30/2020 11:10	150	$I2KGENR.pdf
FILE	---A---X	4/15/2020 01:40	4/15/2020 01:40	5/30/2020 11:10	150	$IXJ86CB.doc
FILE	---A---X	4/15/2020 01:40	4/15/2020 01:40	4/15/2020 01:40	786,432	$RXJ86CB.doc
FILE	---A---X	4/15/2020 01:50	4/15/2020 01:50	4/15/2020 01:50	786,432	$RB2QRP7.msi
FILE	---A---X	4/15/2020 01:51	4/15/2020 01:51	5/30/2020 11:10	150	$IAXFNKR.dll
FILE	---A---X	4/15/2020 01:51	4/15/2020 01:51	5/30/2020 11:10	150	$IB2QRP7.msi
FILE	---A---X	4/15/2020 01:51	4/15/2020 01:51	4/15/2020 01:51	524,288	$RAXFNKR.dll
FILE	---A----	4/15/2020 02:01	4/15/2020 02:01	4/15/2020 02:01	1,048,576	$RDQ75OS.pdf
FILE	---A----	4/15/2020 02:01	4/15/2020 02:01	5/30/2020 11:10	150	$IDQ75OS.pdf
FILE	---A---X	4/15/2020 02:01	4/15/2020 02:01	5/30/2020 11:10	150	$INCPMGX.msi
FILE	---A---X	4/15/2020 02:01	4/15/2020 02:01	4/15/2020 02:01	786,432	$RNCPMGX.msi
FILE	---A---X	4/15/2020 02:10	4/15/2020 02:10	4/15/2020 02:10	786,432	$RIMVZS0.doc
FILE	---A----	4/15/2020 02:10	4/15/2020 02:10	5/30/2020 11:10	150	$I9J3SSJ.pdf
FILE	---A---X	4/15/2020 02:10	4/15/2020 02:10	5/30/2020 11:10	150	$IIMVZS0.doc
FILE	---A----	4/15/2020 02:10	4/15/2020 02:10	4/15/2020 02:10	1,048,576	$R9J3SSJ.pdf
FILE	---A---X	4/15/2020 02:20	4/15/2020 02:20	4/15/2020 02:20	262,144	$RAZR71M.dll
FILE	---A---X	4/15/2020 02:20	4/15/2020 02:20	5/30/2020 11:10	150	$IAZR71M.dll
FILE	---A----	4/15/2020 02:20	4/15/2020 02:20	5/30/2020 11:10	150	$ID59F0F.pdf
FILE	---A----	4/15/2020 02:20	4/15/2020 02:20	4/15/2020 02:20	1,048,576	$RD59F0F.pdf
FILE	---A---X	4/15/2020 02:31	4/15/2020 02:31	5/30/2020 11:10	150	$IVITOOD.exe
FILE	---A---X	4/15/2020 02:31	4/15/2020 02:31	4/17/2020 08:19	262,144	$RVITOOD.exe
FILE	---A---X	4/15/2020 02:31	4/15/2020 02:31	5/30/2020 11:10	150	$IG3B090.msi
FILE	---A---X	4/15/2020 02:31	4/15/2020 02:31	4/15/2020 02:31	786,432	$RG3B090.msi
FILE	---A----	4/15/2020 02:40	4/15/2020 02:40	4/15/2020 02:40	1,048,576	$R5QP1CV.pdf
FILE	---A----	4/15/2020 02:40	4/15/2020 02:40	5/30/2020 11:10	150	$I5QP1CV.pdf
FILE	---A---X	4/15/2020 02:40	4/15/2020 02:40	5/30/2020 11:10	150	$I5YT7EO.doc
FILE	---A---X	4/15/2020 02:40	4/15/2020 02:40	4/15/2020 02:40	786,432	$R5YT7EO.doc
FILE	---A---X	4/15/2020 02:50	4/15/2020 02:50	4/17/2020 08:19	262,144	$RX6NHFQ.exe
FILE	---A---X	4/15/2020 02:50	4/15/2020 02:50	5/30/2020 11:10	150	$IFZY863.msi
